"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FSFG","First Savings Financial Group, Inc.","31.49","$68.9M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fsfg",
"FSGI","First Security Group, Inc.","2.45","$163.69M","2005","Finance","Major Banks","http://www.nasdaq.com/symbol/fsgi",
"FSLR","First Solar, Inc.","51.74","$5.22B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/fslr",
"FSBK","First South Bancorp Inc","7.83","$74.42M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fsbk",
"BICK","First Trust BICK Index Fund","20.84","$9.38M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","10.88","$2.72M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fbz",
"FCAN","First Trust Canada AlphaDEX Fund","25.77","$10.31M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fcan",
"FTCS","First Trust Capital Strength ETF","38.73","$122M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftcs",
"FCA","First Trust China AlphaDEX Fund","23","$20.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fca",
"FV","First Trust Dorsey Wright Focus 5 ETF","24.96","$4.52B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fv",
"IFV","First Trust Dorsey Wright International Focus 5 ETF","18.8696","$838.75M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifv",
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","42.2936","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/femb",
"FTSM","First Trust Enhanced Short Maturity ETF","59.95","$128.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftsm",
"FEUZ","First Trust Eurozone AlphaDEX ETF","32.5","$11.38M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/feuz",
"TDIV","First Trust Exchange-Traded Fund VI First Trust NASDAQ Technol","26.1494","$559.73M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdiv",
"MDIV","First Trust Exchange-Traded Fund VI Multi-Asset Diversified In","19.92","$1B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdiv",
"FGM","First Trust Germany AlphaDEX Fund","37.6","$244.4M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fgm",
"FTGC","First Trust Global Tactical Commodity Strategy Fund","22.793","$199.51M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftgc",
"FTHI","First Trust High Income ETF","20.64","$6.19M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fthi",
"HYLS","First Trust High Yield Long/Short ETF","49.8","$478.08M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hyls",
"FHK","First Trust Hong Kong AlphaDEX Fund","35.9759","$203.26M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fhk",
"FPXI","First Trust International IPO ETF","29.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpxi",
"YDIV","First Trust International Multi-Asset Diversified Income Index","17.206","$13.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ydiv",
"SKYY","First Trust ISE Cloud Computing Index Fund","30.6999","$501.94M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/skyy",
